Symbol,Profit,DY,PS,PE,PB,DE,FCF
AAPL,86.8,0.59,7.049,28.14,36.97,1.895,19.0
MSFT,61.27,0.76,13.4,36.79,15.67,0.4095,16.26
AMZN,29.44,0.0,3.9,58.75,14.87,0.438,1.573
FB,38.96,0.0,9.859,26.5,7.296,0.0,8.635
GOOGL,62.93,0.0,8.638,30.21,7.823,0.0603,16.39
GOOG,62.93,0.0,8.68,30.36,7.861,0.0603,16.39
TSLA,2.15,0.0,19.97,386.07,29.94,0.3209,609.0
NVDA,7.079,0.08,24.47,75.53,25.05,0.5648,2.499
BRK.B,105.78,0.0,1.737,6.055,1.312,0.2449,7.109
JPM,47.83,2.35,3.88,10.2,1.803,1.675,13.53
JNJ,17.77,2.51,4.937,24.79,6.237,0.4812,4.501
UNH,14.51,1.3,1.479,27.53,5.694,0.6986,4.978
V,10.86,0.58,21.97,44.46,13.5,0.5513,4.235
PG,14.31,2.31,4.916,26.21,7.677,0.6897,3.407
HD,15.24,1.93,2.49,23.56,170.91,17.48,3.119
PYPL,4.869,0.0,13.46,65.83,15.17,0.4279,1.059
DIS,1.126,0.0,5.159,294.97,3.769,0.6437,522.0
ADBE,5.582,0.0,21.74,56.13,22.28,0.2974,1.893
BAC,27.62,1.92,3.971,13.06,1.296,1.069,9.311
MA,7.192,0.51,20.37,47.1,51.95,2.158,2.075
CMCSA,12.47,1.7,2.408,21.05,2.727,1.038,4.791
PFE,13.23,3.51,4.835,18.94,3.532,0.5387,10.76
NFLX,4.392,0.0,9.541,59.91,18.46,1.127,174.04
CRM,2.352,0.0,10.4,104.29,4.579,0.2148,173.0
CSCO,10.59,2.62,4.733,22.26,5.687,0.2792,4.342
XOM,13.33,6.5,1.065,0.0,1.429,0.3822,6.903
VZ,19.99,4.62,1.693,11.24,3.051,2.062,6.027
ABT,6.376,1.36,5.61,35.5,6.611,0.5474,1.715
TMO,8.596,0.17,6.223,27.74,6.388,0.5095,1.687
KO,8.079,3.08,6.454,29.03,10.53,1.888,3.655
INTC,18.56,2.58,2.827,11.81,2.531,0.4156,4.878
PEP,8.208,2.71,2.88,26.14,13.98,2.765,2.225
ACN,5.778,1.06,4.493,37.28,10.93,0.0037,2.243
DHR,5.611,0.24,8.912,43.44,5.898,0.4777,1.815
NKE,5.727,0.71,5.588,43.45,19.18,0.0002,1.838
LLY,6.071,1.42,7.895,35.25,34.34,2.563,1.244
WMT,10.05,1.52,0.7194,40.5,4.979,0.5199,6.76
COST,4.726,0.66,1.083,42.73,12.2,0.4603,2.305
AVGO,6.071,2.86,7.93,36.48,8.316,1.658,3.426
ABBV,6.663,4.75,3.533,28.8,15.02,6.535,4.695
T,1.947,7.65,1.11,0.0,1.197,1.097,6.951
MRK,5.571,3.61,3.768,32.89,5.476,0.7966,1.556
CVX,3.587,5.57,1.546,50.48,1.371,0.323,5.157
WFC,15.81,1.09,2.535,13.13,1.104,1.002,8.062
MDT,3.882,1.84,5.523,45.01,3.365,0.5031,914.0
