Symbol,Dividends
AAPL,"{'2021': 0.64, '2020': 0.6, '2019': 0.76}"
MSFT,"{'2021': 2.24, '2020': 1.99, '2019': 1.84}"
AMZN,"{'2021': 0, '2020': 0, '2019': 0}"
FB,"{'2021': 0, '2020': 0, '2019': 0}"
GOOGL,"{'2021': 0, '2020': 0, '2019': 0}"
GOOG,"{'2021': 0, '2020': 0, '2019': 0}"
TSLA,"{'2021': 0, '2020': 0, '2019': 0}"
NVDA,"{'2021': 0.16, '2020': 0.16, '2019': 0.08}"
BRK.B,"{'2021': 0, '2020': 0, '2019': 0}"
JPM,"{'2021': 1.8, '2020': 3.6, '2019': 3.4}"
JNJ,"{'2021': 2.07, '2020': 3.98, '2019': 3.75}"
UNH,"{'2021': 2.7, '2020': 4.83, '2019': 4.14}"
V,"{'2021': 0.96, '2020': 1.22, '2019': 1.05}"
PG,"{'2021': 3.32, '2020': 3.07, '2019': 2.93}"
HD,"{'2021': 6.15, '2020': 5.58, '2019': 2.39}"
PYPL,"{'2021': 0, '2020': 0, '2019': 0}"
DIS,"{'2021': 0, '2020': 0.88, '2019': 1.76}"
ADBE,"{'2021': 0, '2020': 0, '2019': 0}"
BAC,"{'2021': 0.36, '2020': 0.72, '2019': 0.66}"
MA,"{'2021': 0.88, '2020': 1.64, '2019': 1.39}"
CMCSA,"{'2021': 0.5, '2020': 0.92, '2019': 0.84}"
PFE,"{'2021': 0.78, '2020': 1.5, '2019': 1.43}"
NFLX,"{'2021': 0, '2020': 0, '2019': 0}"
CRM,"{'2021': 0, '2020': 0, '2019': 0}"
CSCO,"{'2021': 1.46, '2020': 1.42, '2019': 1.36}"
XOM,"{'2021': 1.74, '2020': 3.48, '2019': 3.48}"
VZ,"{'2021': 1.25, '2020': 2.48, '2019': 2.44}"
ABT,"{'2021': 0.9, '2020': 1.53, '2019': 1.32}"
TMO,"{'2021': 0.52, '2020': 0.88, '2019': 0.76}"
KO,"{'2021': 0.84, '2020': 1.64, '2019': 1.6}"
INTC,"{'2021': 0.7, '2020': 1.34, '2019': 1.28}"
PEP,"{'2021': 2.1, '2020': 4.02, '2019': 3.79}"
ACN,"{'2021': 2.64, '2020': 3.28, '2019': 3.72}"
DHR,"{'2021': 0.42, '2020': 0.72, '2019': 0.68}"
NKE,"{'2021': 1.07, '2020': 0.96, '2019': 0.86}"
LLY,"{'2021': 1.7, '2020': 3.07, '2019': 2.68}"
WMT,"{'2021': 0.54, '2020': 0.53, '2019': 0.52}"
COST,"{'2021': 11.49, '2020': 2.7, '2019': 2.44}"
AVGO,"{'2021': 10.8, '2020': 13.35, '2019': 11.2}"
ABBV,"{'2021': 2.6, '2020': 4.84, '2019': 4.39}"
T,"{'2021': 1.04, '2020': 2.08, '2019': 2.05}"
MRK,"{'2021': 1.28, '2020': 2.39, '2019': 2.18}"
CVX,"{'2021': 2.68, '2020': 5.16, '2019': 4.86}"
WFC,"{'2021': 0.3, '2020': 0.81, '2019': 1.98}"
MDT,"{'2021': 2.32, '2020': 2.16, '2019': 1.5}"
MCD,"{'2021': 2.58, '2020': 5.04, '2019': 4.73}"
TXN,"{'2021': 2.04, '2020': 3.84, '2019': 3.34}"
NEE,"{'2021': 0.77, '2020': 1.4, '2019': 1.25}"
PM,"{'2021': 2.4, '2020': 4.74, '2019': 4.62}"
LIN,"{'2021': 2.12, '2020': 3.85, '2019': 3.5}"
QCOM,"{'2021': 1.98, '2020': 2.54, '2019': 2.48}"
ORCL,"{'2021': 1.12, '2020': 0.96, '2019': 0.67}"
HON,"{'2021': 1.86, '2020': 3.66, '2019': 3.44}"
MS,"{'2021': 1.05, '2020': 1.4, '2019': 1.35}"
INTU,"{'2021': 2.36, '2020': 2.12, '2019': 1.88}"
C,"{'2021': 1.02, '2020': 2.04, '2019': 1.98}"
BMY,"{'2021': 0.98, '2020': 1.84, '2019': 1.68}"
LOW,"{'2021': 2.3, '2020': 2.13, '2019': 0.96}"
UNP,"{'2021': 2.04, '2020': 1.94, '2019': 3.7}"
UPS,"{'2021': 2.04, '2020': 4.04, '2019': 3.84}"
GS,"{'2021': 2.5, '2020': 5.0, '2019': 4.15}"
SBUX,"{'2021': 1.35, '2020': 1.68, '2019': 1.49}"
AMT,"{'2021': 2.51, '2020': 4.53, '2019': 3.78}"
BLK,"{'2021': 8.26, '2020': 14.52, '2019': 13.2}"
AMD,"{'2021': 0, '2020': 0, '2019': 0}"
NOW,"{'2021': 0, '2020': 0, '2019': 0}"
AMGN,"{'2021': 3.52, '2020': 6.56, '2019': 5.95}"
RTX,"{'2021': 0.98, '2020': 1.71, '2019': 0}"
ISRG,"{'2021': 0, '2020': 0, '2019': 0}"
IBM,"{'2021': 3.28, '2020': 6.52, '2019': 6.48}"
AMAT,"{'2021': 0.7, '2020': 0.87, '2019': 0.83}"
TGT,"{'2021': 2.7, '2020': 2.62, '2019': 1.28}"
BA,"{'2021': 0, '2020': 2.06, '2019': 8.22}"
MRNA,"{'2021': 0, '2020': 0, '2019': 0}"
DE,"{'2021': 2.56, '2020': 3.04, '2019': 3.04}"
GE,"{'2021': 0, '2020': 0, '2019': 0}"
CAT,"{'2021': 2.14, '2020': 4.12, '2019': 3.95}"
CVS,"{'2021': 1.0, '2020': 2.0, '2019': 2.0}"
CHTR,"{'2021': 0, '2020': 0, '2019': 0}"
MMM,"{'2021': 2.96, '2020': 5.89, '2019': 5.79}"
SCHW,"{'2021': 0.36, '2020': 0.72, '2019': 0.69}"
SPGI,"{'2021': 1.54, '2020': 2.68, '2019': 2.28}"
AXP,"{'2021': 0.86, '2020': 1.72, '2019': 1.64}"
PLD,"{'2021': 1.26, '2020': 2.32, '2019': 2.12}"
ZTS,"{'2021': 0.5, '2020': 0.85, '2019': 0.69}"
MO,"{'2021': 1.72, '2020': 3.4, '2019': 3.28}"
BKNG,"{'2021': 0, '2020': 0, '2019': 0}"
ANTM,"{'2021': 2.26, '2020': 3.8, '2019': 3.2}"
GILD,"{'2021': 1.42, '2020': 2.72, '2019': 2.52}"
SYK,"{'2021': 1.26, '2020': 2.36, '2019': 2.13}"
ADP,"{'2021': 3.7, '2020': 3.52, '2019': 3.06}"
LMT,"{'2021': 7.6, '2020': 9.8, '2019': 9.0}"
ADI,"{'2021': 2.07, '2020': 2.48, '2019': 2.16}"
MDLZ,"{'2021': 0.63, '2020': 1.2, '2019': 1.09}"
TJX,"{'2021': 0.26, '2020': 0.92, '2019': 0.29}"
LRCX,"{'2021': 5.2, '2020': 4.6, '2019': 4.4}"
MU,"{'2021': 0, '2020': 0, '2019': 0}"
CB,"{'2021': 1.58, '2020': 3.09, '2019': 2.98}"
DUK,"{'2021': 1.95, '2020': 3.84, '2019': 3.76}"
PNC,"{'2021': 2.4, '2020': 4.6, '2019': 4.4}"
MMC,"{'2021': 1.0, '2020': 1.85, '2019': 1.78}"
EL,"{'2021': 2.07, '2020': 1.39, '2019': 1.67}"
TMUS,"{'2021': 0, '2020': 0, '2019': 0}"
FIS,"{'2021': 0.78, '2020': 1.4, '2019': 1.4}"
EQIX,"{'2021': 5.74, '2020': 10.64, '2019': 9.84}"
USB,"{'2021': 0.84, '2020': 1.68, '2019': 1.58}"
COP,"{'2021': 0.42, '2020': 1.45, '2019': 1.18}"
TFC,"{'2021': 0.93, '2020': 1.8, '2019': 0.9}"
EW,"{'2021': 0, '2020': 0, '2019': 0}"
CI,"{'2021': 2.0, '2020': 0.04, '2019': 0.04}"
CSX,"{'2021': 0.37, '2020': 0.35, '2019': 0.32}"
BDX,"{'2021': 2.49, '2020': 3.16, '2019': 3.08}"
SHW,"{'2021': 0.55, '2020': 1.79, '2019': 1.51}"
COF,"{'2021': 1.6, '2020': 1.0, '2019': 1.6}"
CME,"{'2021': 1.8, '2020': 5.05, '2019': 4.75}"
REGN,"{'2021': 0, '2020': 0, '2019': 0}"
SO,"{'2021': 1.32, '2020': 2.56, '2019': 2.48}"
FISV,"{'2021': 0, '2020': 0, '2019': 0}"
ILMN,"{'2021': 0, '2020': 0, '2019': 0}"
ICE,"{'2021': 0, '2020': 0.3, '2019': 1.1}"
ETN,"{'2021': 1.52, '2020': 2.19, '2019': 2.13}"
HCA,"{'2021': 0.96, '2020': 0.7, '2019': 1.6}"
CL,"{'2021': 0.9, '2020': 1.76, '2019': 1.72}"
ITW,"{'2021': 2.28, '2020': 4.42, '2019': 4.14}"
AON,"{'2021': 1.02, '2020': 1.8, '2019': 0.44}"
FDX,"{'2021': 2.7, '2020': 2.6, '2019': 2.6}"
BSX,"{'2021': 0, '2020': 0, '2019': 0}"
NSC,"{'2021': 2.08, '2020': 3.81, '2019': 3.68}"
