Symbol,Employee
AAPL,137000
MSFT,163000
AMZN,798000
FB,44942
GOOGL,118899
GOOG,118899
TSLA,70757
NVDA,13775
JPM,256981
JNJ,132200
UNH,325000
V,19500
PG,99000
HD,415700
PYPL,23200
DIS,223000
ADBE,22634
BAC,208000
MA,18600
CMCSA,190000
PFE,88300
NFLX,8600
CRM,49000
CSCO,77500
XOM,74900
VZ,0
ABT,107000
TMO,75000
KO,86200
INTC,110800
PEP,267000
ACN,506000
DHR,60000
NKE,75400
LLY,33625
WMT,2200000
COST,273000
AVGO,19000
ABBV,30000
T,246000
MRK,71000
CVX,48200
WFC,259800
MDT,90000
MCD,205000
TXN,29768
NEE,13900
PM,73500
LIN,79886
QCOM,37000
ORCL,135000
HON,113000
MS,60431
INTU,10600
C,200000
BMY,30000
LOW,320000
UNP,37483
UPS,495000
GS,38300
SBUX,346000
AMT,5454
BLK,16200
AMD,11400
NOW,10371
AMGN,23400
RTX,243200
ISRG,7326
IBM,383800
AMAT,22000
TGT,368000
BA,161100
MRNA,0
DE,73500
GE,205000
CAT,102300
CVS,290000
CHTR,95100
MMM,96163
SCHW,19700
SPGI,22500
AXP,64500
PLD,1712
ZTS,10600
MO,7300
BKNG,26400
ANTM,70600
GILD,11800
SYK,40000
ADP,58000
LMT,110000
ADI,16400
MDLZ,80000
TJX,286000
LRCX,11300
CCI,5100
MU,40000
DUK,28793
PNC,51918
MMC,76000
EL,48000
TMUS,53000
FIS,55000
EQIX,8378
USB,69651
COP,10400
TFC,59000
EW,13900
CI,73700
CSX,21000
BDX,70093
SHW,61111
COF,51900
CME,4360
REGN,8100
SO,27943
FISV,44000
ILMN,7700
ICE,5989
ETN,101000
HCA,280000
CL,34300
ITW,45000
AON,50000
FDX,245000
BSX,36000
NSC,29482
D,19100
EMR,88000
ADSK,10100
ATVI,9200
GM,164000
MCO,11000
WM,44900
APD,17700
IDXX,9200
NXPI,0
ECL,50200
PGR,41571
NOC,90000
A,16300
JCI,104000
HUM,47200
MSCI,3396
CMG,83000
DG,143000
FCX,27500
ALGN,14530
DXCM,5200
KLAC,10600
VRTX,3000
TWTR,4900
SNPS,13896
ROP,16460
F,190000
IQV,67000
BIIB,7400
PSA,5900
TROW,7365
TEL,78000
EBAY,13300
EXC,32713
LHX,0
TT,50000
KMB,40000
AIG,46000
CARR,52635
DLR,1550
NEM,31600
GPN,24000
DOW,36500
GD,102900
CDNS,8100
APH,74000
MET,49000
INFO,15500
AEP,1859
SPG,4500
BK,48400
RMD,7770
MCHP,18000
FTNT,7082
SRE,13969
ROST,92500
EA,9800
MSI,17000
PRU,51511
CTSH,292500
APTV,141000
ORLY,82167
TRV,30800
ALL,46290
SBAC,1475
SLB,105000
SYY,57000
EOG,2900
DD,35000
YUM,34000
PH,50520
ROK,23000
XLNX,4891
XEL,11273
DFS,17200
IFF,13600
PPG,47600
CNC,56600
OTIS,69000
WBA,331000
MPC,60910
WELL,443
MTD,16200
PAYX,15800
MNST,3529
MAR,174000
STZ,9000
KR,435000
HPQ,56000
AFL,11729
GIS,35000
CTAS,40000
PXD,2323
CMI,61615
HLT,173000
NUE,26800
WST,7300
AWK,6800
EFX,11200
ADM,38100
SIVB,3564
TDG,18300
VRSK,9300
KEYS,13600
CTVA,0
AZO,81000
CBRE,100000
MCK,80000
PEG,7130
AVB,3122
FAST,21948
STT,39103
BLL,18300
KMI,11086
ANSS,4100
AMP,12500
ES,8234
DHI,8916
ZBRA,8200
AME,18100
SWK,59438
ZBH,19900
PSX,14500
WEC,7509
WMB,4812
GLW,49500
SWKS,9000
CPRT,7600
LH,65000
AJG,33300
WLTW,46600
LEN,10106
EQR,2700
LUV,60800
PCAR,27000
ARE,439
ODFL,20105
CDW,9900
GNRC,4202
ALB,6000
WY,9400
FITB,19869
ETSY,0
O,194
KSU,7040
IT,16724
VLO,10222
RSG,36000
ED,14890
GRMN,15000
SYF,16500
HSY,16140
DAL,91000
WAT,7500
BBY,125000
EXR,4048
URI,19100
FTV,25000
DOV,24000
LYB,19100
XYL,16300
PAYC,3765
NTRS,19800
HIG,19500
VFC,48000
VMC,8767
ENPH,336
CTLT,0
OKE,2882
IP,51000
TRMB,8451
DTE,10700
MLM,8846
PPL,12280
KHC,37000
TSN,141000
CERN,27400
NDAQ,4361
ETR,13635
AEE,9323
HBAN,0
TSCO,33500
MAA,2513
EIX,12937
CRL,0
OXY,14400
COO,12000
VRSN,872
MKC,12400
ESS,1822
FLT,8700
FE,12316
CZR,64000
DLTR,193100
TDY,9200
STE,13000
VTR,516
PKI,13000
CLX,8800
MPWR,1534
QRVO,7900
EXPD,18000
ULTA,44000
HOLX,6478
CHD,4800
KMX,27050
EXPE,25400
DGX,47000
TER,3900
DPZ,13100
IR,6600
DRE,400
POOL,0
NTAP,10800
HPE,61600
ANET,2300
TECH,0
BR,12000
TYL,4069
PEAK,204
AMCR,47000
DRI,177000
KEY,13853
HES,1775
RF,19564
CCL,94100
GWW,25300
CMS,8789
TFX,14400
AVY,30000
WDC,63800
TTWO,5800
CFG,5700
AKAM,7724
ABC,22000
CINF,5148
VTRS,0
MKTX,527
HAL,55000
RCL,85400
MTB,17503
STX,42000
BIO,0
J,48000
GPC,55000
CE,7714
NVR,5700
BBWI,0
DVN,1800
MGM,70000
RJF,18910
BKR,68000
IEX,7439
PFG,17601
ABMD,1536
TXT,35000
UDR,1351
AES,18500
BXP,760
WAB,27500
CAG,16500
K,31000
OMC,70000
NLOK,3600
PWR,40300
MAS,22000
EVRG,4617
CAH,48000
LNT,3597
EMN,14500
JBHT,29056
CNP,14262
UAL,96000
IPG,54300
PKG,15500
LVS,50000
INCY,1456
PHM,4149
LKQ,51000
IRM,26750
WHR,77000
PTC,0
FANG,712
WRK,51100
FBHS,24700
CBOE,823
XRAY,15200
ALLE,11000
SJM,7300
KIM,0
LDOS,34000
AAP,67000
JKHY,6717
PNR,9500
NWL,30000
JNPR,9419
IVZ,8821
LW,7700
SEE,16500
ZION,10188
DVA,65000
NCLH,36000
MRO,2000
DXC,138000
GL,3196
OGN,0
WU,11500
TAP,17700
NWSA,23500
BEN,9600
PNW,97
ROL,14952
CPB,14500
FRT,308
PVH,21500
HII,42000
ATO,4776
CTXS,8400
AAL,133700
HAS,5600
FMC,6400
HWM,41700
LYV,10500
L,18605
SNA,12800
PENN,0
LNC,11357
HRL,18800
UHS,80800
LUMN,0
FOXA,9000
CHRW,15427
FFIV,5325
RHI,205600
MHK,41800
HST,175
TPR,17300
DISH,16000
MOS,12600
NRG,4577
HSIC,19000
REG,450
WYNN,30200
WRB,7493
BWA,29000
RE,1603
AIZ,14200
CMA,7948
AOS,15100
CF,3000
NLSN,46000
APA,4950
ALK,24134
PBCT,6499
COG,274
HBI,63000
VNO,4008
LEG,22000
IPGP,5960
RL,24900
PRGO,11200
UNM,10300
FOX,9000
GPS,129000
NOV,35479
DISCA,9200
