Symbol,EPS
ZBRA,"{'2021': 8.29, '2020': 9.35, '2019': 9.97}"
STX,"{'2021': 5.36, '2020': 3.79, '2019': 7.06}"
WDC,"{'2021': 2.66, '2020': 0.84, '2019': 2.58}"
SLB,"{'2021': 0.51, '2020': 7.57, '2019': 7.32}"
TMO,"{'2021': 10.5, '2020': 15.96, '2019': 9.17}"
SNPS,"{'2021': 3.54, '2020': 4.27, '2019': 3.45}"
ULTA,"{'2021': 3.11, '2020': 12.15, '2019': 5.78}"
WMB,"{'2021': 0.6, '2020': 0.17, '2019': 0.7}"
SWKS,"{'2021': 7.02, '2020': 4.8, '2019': 4.89}"
SHW,"{'2021': 3.93, '2020': 7.36, '2019': 5.5}"
URI,"{'2021': 6.82, '2020': 12.2, '2019': 15.11}"
SBUX,"{'2021': 2.06, '2020': 0.79, '2019': 2.92}"
TRMB,"{'2021': 1.0, '2020': 1.55, '2019': 2.03}"
STE,"{'2021': 4.63, '2020': 4.76, '2019': 2.73}"
SYK,"{'2021': 2.34, '2020': 4.2, '2019': 5.48}"
SBAC,"{'2021': 1.27, '2020': 0.21, '2019': 1.28}"
VRSK,"{'2021': 1.97, '2020': 4.31, '2019': 2.7}"
TER,"{'2021': 2.85, '2020': 4.28, '2019': 2.6}"
VRTX,"{'2021': 2.75, '2020': 10.29, '2019': 4.51}"
XEL,"{'2021': 1.25, '2020': 2.79, '2019': 2.64}"
TSCO,"{'2021': 4.73, '2020': 6.38, '2019': 4.66}"
TECH,"{'2021': 3.47, '2020': 5.82, '2019': 2.47}"
TT,"{'2021': 2.88, '2020': 3.52, '2019': 5.77}"
VTRS,"{'2021': 1.09, '2020': 1698812.89, '2019': 0}"
WMT,"{'2021': 4.75, '2020': 5.19, '2019': 1.83}"
WELL,"{'2021': 0.23, '2020': 2.33, '2019': 3.05}"
STZ,"{'2021': 19.65, '2020': 0.14, '2019': 26.53}"
SWK,"{'2021': 5.8, '2020': 7.77, '2019': 6.35}"
UDR,"{'2021': 0.04, '2020': 0.2, '2019': 0.63}"
V,"{'2021': 3.98, '2020': 4.89, '2019': 5.32}"
SYY,"{'2021': 1.02, '2020': 0.42, '2019': 3.2}"
VIAC,"{'2021': 3.01, '2020': 3.92, '2019': 5.36}"
USB,"{'2021': 2.73, '2020': 3.06, '2019': 4.16}"
UNP,"{'2021': 4.72, '2020': 3.82, '2019': 8.38}"
SCHW,"{'2021': 1.32, '2020': 2.12, '2019': 2.67}"
TXT,"{'2021': 1.55, '2020': 1.35, '2019': 3.5}"
TJX,"{'2021': 0.07, '2020': 2.67, '2019': 1.28}"
SPG,"{'2021': 3.24, '2020': 3.59, '2019': 6.81}"
TROW,"{'2021': 6.63, '2020': 9.98, '2019': 8.7}"
ZBH,"{'2021': 1.62, '2020': 0.67, '2019': 5.47}"
XYL,"{'2021': 1.1, '2020': 1.4, '2019': 2.21}"
STT,"{'2021': 3.44, '2020': 6.32, '2019': 5.38}"
WM,"{'2021': 1.82, '2020': 3.52, '2019': 3.91}"
TSN,"{'2021': 4.63, '2020': 5.64, '2019': 5.4}"
RTX,"{'2021': 1.18, '2020': 2.59, '2019': 6.41}"
TYL,"{'2021': 1.48, '2020': 4.69, '2019': 3.65}"
VRSN,"{'2021': 2.64, '2020': 7.07, '2019': 5.15}"
WFC,"{'2021': 2.4, '2020': 0.41, '2019': 4.05}"
XLNX,"{'2021': 2.62, '2020': 3.11, '2019': 2.73}"
ZTS,"{'2021': 2.24, '2020': 3.42, '2019': 3.11}"
VFC,"{'2021': 1.04, '2020': 1.7, '2019': 2.75}"
WAB,"{'2021': 1.25, '2020': 2.17, '2019': 1.84}"
VMC,"{'2021': 2.67, '2020': 4.39, '2019': 4.63}"
TTWO,"{'2021': 5.09, '2020': 3.54, '2019': 2.28}"
VZ,"{'2021': 2.67, '2020': 4.3, '2019': 4.65}"
WLTW,"{'2021': 7.04, '2020': 7.65, '2019': 8.02}"
TGT,"{'2021': 8.64, '2020': 6.36, '2019': 2.69}"
SPGI,"{'2021': 6.42, '2020': 9.66, '2019': 8.6}"
TWTR,"{'2021': 0.16, '2020': 1.44, '2019': 1.87}"
WST,"{'2021': 4.47, '2020': 4.57, '2019': 3.21}"
SIVB,"{'2021': 19.1, '2020': 22.87, '2019': 21.73}"
TEL,"{'2021': 4.41, '2020': 0.73, '2019': 5.42}"
