Symbol,Headquarter,Date Added,Founding Year
MMM,"Saint Paul, Minnesota",1976-08-09,1902
ABT,"North Chicago, Illinois",1964-03-31,1888
ABBV,"North Chicago, Illinois",2012-12-31,2013
ABMD,"Danvers, Massachusetts",2018-05-31,1981
ACN,"Dublin, Ireland",2011-07-06,1989
ATVI,"Santa Monica, California",2015-08-31,2008
ADBE,"San Jose, California",1997-05-05,1982
AMD,"Santa Clara, California",,1969
AAP,"Raleigh, North Carolina",2015-07-09,1932
AES,"Arlington, Virginia",1998-10-02,1981
AFL,"Columbus, Georgia",1999-05-28,1955
A,"Santa Clara, California",2000-06-05,1999
APD,"Allentown, Pennsylvania",1985-04-30,1940
AKAM,"Cambridge, Massachusetts",2007-07-12,1998
ALK,"Seattle, Washington",2016-05-13,1985
ALB,"Charlotte, North Carolina",2016-07-01,1994
ARE,"Pasadena, California",2017-03-20,1994
ALGN,"San Jose, California",2017-06-19,1997
ALLE,"New York City, New York",2013-12-02,1908
LNT,"Madison, Wisconsin",2016-07-01,1917
ALL,"Northfield Township, Illinois",1995-07-13,1931
GOOGL,"Mountain View, California",2014-04-03,1998
GOOG,"Mountain View, California",2006-04-03,1998
MO,"Richmond, Virginia",1957-03-04,1985
AMZN,"Seattle, Washington",2005-11-18,1994
AMCR,"Zurich, Switzerland",2019-06-07,1860
AEE,"St. Louis, Missouri",1991-09-19,1902
AAL,"Fort Worth, Texas",2015-03-23,1934
AEP,"Columbus, Ohio",1957-03-04,1906
AXP,"New York City, New York",1976-06-30,1850
AIG,"New York City, New York",1980-03-31,1919
AMT,"Boston, Massachusetts",2007-11-19,1995
AWK,"Camden, New Jersey",2016-03-04,1886
AMP,"Minneapolis, Minnesota",2005-10-03,1894
ABC,"Chesterbrook, Pennsylvania",2001-08-30,1985
AME,"Berwyn, Pennsylvania",2013-09-23,1930
AMGN,"Thousand Oaks, California",1992-01-02,1980
APH,"Wallingford, Connecticut",2008-09-30,1932
ADI,"Wilmington, Massachusetts",1999-10-12,1965
ANSS,"Canonsburg, Pennsylvania",2017-06-19,1969
ANTM,"Indianapolis, Indiana",2002-07-25,2004
AON,"London, UK",1996-04-23,1982
AOS,"Milwaukee, Wisconsin",2017-07-26,1916
APA,"Houston, Texas",1997-07-28,1954
AAPL,"Cupertino, California",1982-11-30,1977
AMAT,"Santa Clara, California",1995-03-16,1967
APTV,"Dublin, Ireland",2012-12-24,1994
ADM,"Chicago, Illinois",1981-07-29,1902
ANET,"Santa Clara, California",2018-08-28,2004
