Name,Weight
Apple Inc.,6.207798
Microsoft Corporation,5.796079
Amazon.com Inc.,4.227455
Facebook Inc. Class A,2.242925
Alphabet Inc. Class A,2.081666
Alphabet Inc. Class C,2.045025
Berkshire Hathaway Inc. Class B,1.435706
Tesla Inc,1.383562
NVIDIA Corporation,1.300139
JPMorgan Chase & Co.,1.235987
Johnson & Johnson,1.220886
Visa Inc. Class A,1.130849
UnitedHealth Group Incorporated,1.072427
PayPal Holdings Inc,0.962253
Procter & Gamble Company,0.95521
Home Depot Inc.,0.941892
Mastercard Incorporated Class A,0.888604
Walt Disney Company,0.873005
Adobe Inc.,0.800329
Bank of America Corp,0.773678
Comcast Corporation Class A,0.721311
Netflix Inc.,0.655671
Exxon Mobil Corporation,0.650987
Verizon Communications Inc.,0.642249
Pfizer Inc.,0.624375
Cisco Systems Inc.,0.621248
Intel Corporation,0.612953
salesforce.com inc.,0.611117
Coca-Cola Company,0.6008
PepsiCo Inc.,0.598013
Abbott Laboratories,0.586375
Thermo Fisher Scientific Inc.,0.569807
AbbVie Inc.,0.565416
NIKE Inc. Class B,0.559173
AT&T Inc.,0.551238
Accenture Plc Class A,0.545997
Merck & Co. Inc.,0.542
Walmart Inc.,0.538723
Broadcom Inc.,0.527375
Eli Lilly and Company,0.517772
Chevron Corporation,0.515256
Costco Wholesale Corporation,0.508522
Danaher Corporation,0.50042
Wells Fargo & Company,0.493715
Texas Instruments Incorporated,0.477829
McDonald's Corporation,0.475255
Medtronic Plc,0.459032
Oracle Corporation,0.438967
Qualcomm Inc,0.434937
Honeywell International Inc.,0.425725
United Parcel Service Inc. Class B,0.424816
Philip Morris International Inc.,0.424016
NextEra Energy Inc.,0.418594
Linde plc,0.412843
Bristol-Myers Squibb Company,0.41242
Union Pacific Corporation,0.395559
Amgen Inc.,0.395282
Intuit Inc.,0.378886
Lowe's Companies Inc.,0.378835
Starbucks Corporation,0.376627
Citigroup Inc.,0.373724
Morgan Stanley,0.369476
American Tower Corporation,0.354825
Target Corporation,0.345133
International Business Machines Corporation,0.341802
Raytheon Technologies Corporation,0.341541
Goldman Sachs Group Inc.,0.335257
BlackRock Inc.,0.332743
Applied Materials Inc.,0.32735
3M Company,0.317315
Boeing Company,0.316118
Caterpillar Inc.,0.309055
Intuitive Surgical Inc.,0.306677
ServiceNow Inc.,0.304476
CVS Health Corporation,0.29506
American Express Company,0.294688
Advanced Micro Devices Inc.,0.29225
General Electric Company,0.291816
Deere & Company,0.29115
Charles Schwab Corporation,0.277843
S&P Global Inc.,0.273193
Charter Communications Inc. Class A,0.272206
Anthem Inc.,0.261179
Zoetis Inc. Class A,0.260763
Prologis Inc.,0.260084
Lockheed Martin Corporation,0.25278
Mondelez International Inc. Class A,0.250761
Fidelity National Information Services Inc.,0.245423
Crown Castle International Corp,0.241742
Altria Group Inc,0.241234
Automatic Data Processing Inc.,0.239398
Gilead Sciences Inc.,0.237836
T-Mobile US Inc.,0.23543
Booking Holdings Inc.,0.234949
Lam Research Corporation,0.234496
Micron Technology Inc.,0.232351
Stryker Corporation,0.225981
Duke Energy Corporation,0.221532
TJX Companies Inc,0.21788
Cigna Corporation,0.217
PNC Financial Services Group Inc.,0.20915
Equinix Inc.,0.207645
U.S. Bancorp,0.206669
CME Group Inc. Class A,0.205392
Estee Lauder Companies Inc. Class A,0.203664
ConocoPhillips,0.201796
Chubb Limited,0.200814
FedEx Corporation,0.199945
Becton Dickinson and Company,0.199244
Colgate-Palmolive Company,0.197598
Marsh & McLennan Companies Inc.,0.195976
CSX Corporation,0.195544
Truist Financial Corporation,0.194998
Activision Blizzard Inc.,0.194087
Capital One Financial Corporation,0.192674
General Motors Company,0.192151
Illumina Inc.,0.190229
Sherwin-Williams Company,0.188139
Southern Company,0.184009
Intercontinental Exchange Inc.,0.182842
Illinois Tool Works Inc.,0.179814
Edwards Lifesciences Corporation,0.178376
Norfolk Southern Corporation,0.177296
Fiserv Inc.,0.176239
Autodesk Inc.,0.17537
Air Products and Chemicals Inc.,0.173116
Regeneron Pharmaceuticals Inc.,0.171019
Dominion Energy Inc,0.169504
Moody's Corporation,0.166073
Humana Inc.,0.164865
Eaton Corp. Plc,0.164863
Analog Devices Inc.,0.162779
Boston Scientific Corporation,0.16219
HCA Healthcare Inc,0.160112
IDEXX Laboratories Inc.,0.158713
Emerson Electric Co.,0.156233
Waste Management Inc.,0.155199
Progressive Corporation,0.15363
Global Payments Inc.,0.152466
Northrop Grumman Corporation,0.147625
Dollar General Corporation,0.147161
Twitter Inc.,0.146258
